cat,group,date,oil,water,liquid,bhp,status,start_lag,coef,is_base
I3,I,12,,,,,0.0,19.0,0.42,False
P1,P,13,-0.0009542894608096,-0.0007297965213632,-0.0016840859821729,20000000.0,1.0,19.0,0.42,False
P2,P,13,-0.0006264157749481,-0.0016653324648093,-0.0022917482397575,20000000.0,1.0,19.0,0.42,False
I1,I,13,,0.002533,0.002533,37135337.7242488,1.0,19.0,0.42,False
I2,I,13,,0.001267,0.001267,33345759.448623564,1.0,19.0,0.42,False
I3,I,13,,,,,0.0,19.0,0.42,False
P1,P,14,-0.0008703043296107,-0.0007904509879014,-0.0016607553175122,20000000.0,1.0,19.0,0.42,False
P2,P,14,-0.0005695205779396,-0.0017068667402559,-0.0022763873181956,20000000.0,1.0,19.0,0.42,False
I1,I,14,,0.002533,0.002533,36615767.716016464,1.0,19.0,0.42,False
I2,I,14,,0.001267,0.001267,32855237.482113708,1.0,19.0,0.42,False
I3,I,14,,,,,0.0,19.0,0.42,False
P1,P,15,-0.0007991641258638,-0.0008432272888003,-0.0016423914146641,20000000.0,1.0,19.0,0.42,False
P2,P,15,-0.0005219807216062,-0.0017427655241215,-0.0022647462457278,20000000.0,1.0,19.0,0.42,False
I1,I,15,,0.002533,0.002533,36166208.71690221,1.0,19.0,0.42,False
I2,I,15,,0.001267,0.001267,32432679.809899773,1.0,19.0,0.42,False
I3,I,15,,,,,0.0,19.0,0.42,False
P1,P,16,-0.0007366969825345,-0.0008926634160939,-0.0016293603986285,20000000.0,1.0,19.0,0.42,False
P2,P,16,-0.0004816278396034,-0.0017737601584646,-0.002255387998068,20000000.0,1.0,19.0,0.42,False
I1,I,16,,0.002533,0.002533,35771092.21574085,1.0,19.0,0.42,False
I2,I,16,,0.001267,0.001267,32063144.318276763,1.0,19.0,0.42,False
I3,I,16,,,,,0.0,19.0,0.42,False
P1,P,17,-0.0006808638871577,-0.0009407352662311,-0.0016215991533888,20000000.0,1.0,19.0,0.42,False
P2,P,17,-0.0004467582590228,-0.0018002050237149,-0.0022469632827377,20000000.0,1.0,19.0,0.42,False
I1,I,17,,0.002533,0.002533,35417118.5249898,1.0,19.0,0.42,False
I2,I,17,,0.001267,0.001267,31733779.031057917,1.0,19.0,0.42,False
I3,I,17,,,,,0.0,19.0,0.42,False
P1,P,18,-0.0006309128459267,-0.000987501936923,-0.0016184147828498,20000000.0,1.0,19.0,0.42,False
P2,P,18,-0.0004161287999937,-0.0018223197537765,-0.0022384485537702,20000000.0,1.0,19.0,0.42,False
I1,I,18,,0.002533,0.002533,35094358.99821947,1.0,19.0,0.42,False
I2,I,18,,0.001267,0.001267,31434895.55823746,1.0,19.0,0.42,False
I3,I,18,,,,,0.0,19.0,0.42,False
P1,P,19,-0.0005864316174796,-0.0010322438360635,-0.0016186754535431,20000000.0,1.0,19.0,0.42,False
P2,P,19,-0.000388985036685,-0.0018402312890043,-0.0022292163256893,20000000.0,1.0,19.0,0.42,False
I1,I,19,,0.002533,0.002533,34796734.51829879,1.0,19.0,0.42,False
I2,I,19,,0.001267,0.001267,31160477.11413506,1.0,19.0,0.42,False
I3,I,19,,,,,0.0,19.0,0.42,False
P1,P,20,-0.0006626458863462,-0.0013834495451389,-0.0020460954314852,20000000.0,1.0,19.0,0.42,False
